,vijest,kategorija
0," 'Pakistanski premijer Shehbaz Sharif potvrdio je da će njegova zemlja uskoro dobiti prvu pošiljku ruske nafte po sniženoj cijeni.\n „Dok govorim, rusku naftu utovaruju za slanje ovamo“, rekao je pakistanski premijer u parlamentu.\n Po dogovoru, Pakistan će kupovati samo sirovu naftu, ne derivate.\n Ministar za naftu Musadik Malik potvrdio je ranije Reutersu da je Pakistan kupio prvu pošiljku ruske sirove nafte po sniženoj cijeni.\nRusija već izvozi jeftiniju naftu u Indiju i Kinu\n Islamabad želi uvoziti 100.000 barela na dan ako prva transakcija protekne glatko. Prva pošiljka vjerovatno će stići narednog mjeseca.\n Rusija, koja već izvozi naftu u Indiju i Kinu po sniženoj cijeni, još nije komentirala novi posao.\nPakistan, dugogodišnji zapadni saveznik, uvozio je prošle godine 154.000 barela nafte na dan. Većinu je uvezao iz Saudijske Arabije i Ujedinjenih Arapskih Emirata, prenosi Hina.",3
1," 'Nakon što je završen prvi krug predsjedničkih izbora u Turskoj i nijedan od glavnih kandidata nije dobio apsolutnu većinu te nakon što je odlučeno da se ide u drugi krug 28. maja, šta pobjeda jednog ili drugog kandidata znači za svijet, a posebno za Rusiju?\n Ruski sajt News.ru potražio je odgovor na ovo pitanje kod ruskih stručnjaka i pripremio izvještaj u kojem sumira njihovo viđenje stavova aktuelnog predsjednika Recepa Tayyipa Erdogana i njegovog rivala, u slučaju da bilo koji od njih dvojice pobijedi na trenutnim predsjedničkim izborima.\nŠta za svijet znači pobjeda jednog od njih dvojice?\n Što se tiče svijeta, News.ru citira ruskog stručnjaka i predsjednika Instituta za Bliski Istok u Moskvi Jevgenija Satanovskog koji je rekao: “Ako Kilicdaroglu pobijedi, prekinut će sa sadašnjim turskim putem kojim ide Erdogan i slijedit će politiku lojalniju Sjedinjenim Američkim Državama.”\n Aleksej Vasiljev, šef Odsjeka za orijentalnu historiju na Institutu za orijentalne studije Ruske akademije nauka, dodaje da je Erdoganova vlada nastojala proširiti svoj utjecaj u zonama konflikta u blizini turske granice, napominjući da će opozicija, ako pobijedi, biti opreznija i uravnoteženija barem u prvoj fazi.\n Što se tiče ruskog političkog analitičara Egora Chobaniana iz istraživačkog centra PIR, objašnjava da je Kilicdaroglu obećao da će obnoviti odnose sa Evropskom unijom i NATO-om te omogućiti turskim državljanima bezvizni ulazak u zemlje Šengena do tri mjeseca.\n S tim u vezi, ističe se da su Amerikanci nastavili sarađivati s turskom opozicijom, za razliku od Rusije koja je uspostavila odnose s Erdoganom.\n No, Chobanian dodaje da će onaj ko sada dođe na vlast u Turskoj morati vladati zemljom u skladu s trenutnim domaćim i globalnim trendovima.\n Chobanian nastavlja da Sjedinjene Američke Države postepeno gube svoju vodeću poziciju u svijetu. Mnogi njihovi saveznici vode nezavisnu politiku bez obzira na Washington, kao posljedica rastuće uloge Kine, Indije i Brazila. S tim u vezi, ističe da Turska, sa svojim rastućim ambicijama i mogućnostima u regionu, više nije mlađi partner Zapada, koji je svim sredstvima pokušavao ući u Evropsku uniju i udovolji Sjedinjenim Američkim Državama, već da Ankara, kako je rekao, traži svoje mjesto u nastajućem novom svjetskom poretku.\nŠta za Rusiju znači Erdoganova pobjeda?\n Satanovski smatra da će Erdoganova pobjeda sačuvati trenutni oblik tursko-ruskih odnosa, dodajući da Erdogan i Putin “imaju gotovo savršen odnos koji diktiraju politički i ekonomski interesi”.\n Anatolij Nesmijan, ruski politolog i stručnjak za bliskoistočna pitanja, smatra da Erdogan ima svoje interese i sve dok se Rusija uklapa u te interese, on će zadržati svoje odnose s Moskvom na sadašnjem nivou.\n S tim u vezi, Yashar Niyazbayev, stručnjak za turska pitanja i glavni urednik kanala MK-Turkey.ru, smatra da Erdoganova pobjeda garantira da neće doći do suštinskih promjena jer postoje dobro uspostavljeni odnosi između Moskve i Ankare i razumijevanje šta treba učiniti, te sposobnost komuniciranja putem Ministarstva vanjskih poslova, Ministarstva odbrane i specijalnih službi.\nŠta Kilicdarogluova pobjeda znači za Rusiju?\n Satanovski smatra da Kilicdarogluova pobjeda nagovještava promjenu odnosa između Rusije i Turske. S tim u vezi, Kilicdaroglu je već najavio da će se okrenuti prema Sjedinjenim Američkim Državama i Evropskoj uniji, optužujući Rusiju da se miješa u turske izbore.\n Satanovski je podsjetio da program opozicije predviđa povratak Turske na parlamentarni sistem i okretanje Zapadu, a sve to može utjecati na odnose sa Moskvom.\n S tim se slaže i Nesmijan, koji smatra da će se Kilicdaroglu, kao i sva sekularna opozicija u Turskoj, okrenuti prema Zapadu. On Rusiju posmatra kroz prizmu evropske politike, a to znači da će se Turska pod njegovim vodstvom pridržavati takvih stajališta, barem u ovoj fazi. Osim toga, Kilicdaroglu je obećao da će preispitati odnose s Damaskom, odlučan da vrati sirijske izbjeglice u njihovu domovinu.\n Prema riječima Nesmijana, povratak izbjeglica će promijeniti situaciju u Siriji, pogotovo jer je većina migranata iz redova sirijske opozicije.\nNesmijan smatra da bi to ojačalo sirijsku opoziciju, a time i povećalo rizik od drugog kruga “građanskog rata” koji bi ugrozio interese Rusije i Irana u Siriji.",5
2," 'Republikanski guverner Floride Ron DeSantis (44) iduće će sedmice službeno ući u utrku za predsjednika SAD-a 2024, izvijestio je Wall Street Journal pozivajući se na izvore, javlja Hina.\n DeSantis će vjerovatno podnijeti dokumentaciju kojom će objaviti svoju kandidaturu 25. maja kako bi se poklopio sa sastankom donatora u Miamiju.\n U pozivnici za događaj 25. maja navedeno je kako će donatori biti stavljeni na “rad”, što je očita aluzija na prikupljanje novca za DeSantisa, prema izvoru upoznatom s događajem.\n DeSantis je možda najsnažnija prijetnja Trumpovim naporima da treći put osvoji republikansku nominaciju za izbore 2024.\nStudirao na elitnim fakultetima\n Istraživanja javnog mnijenja\xa0pokazuju da je on među republikancima u najboljoj poziciji za duel s bivšim predsjednikom Trumpom\xa0koji je već objavio svoju kandidaturu.\n Trump je posljednjih sedmica pojačao svoje političke napade na guvernera Floride i održava uvjerljivo vodstvo na republikanskim predizborima 2024, prema nedavnoj anketi Reutersa/Ipsosa.\n DeSantis je studirao na elitnim univerzitetima Yaleu i Harvardu. Uz to bio je u američkoj mornarici i sudjelovao u vojnoj intervenciji u Iraku.\nNakon aktivne službe, DeSantis je radio kao savezni tužitelj, a u Kongres SAD-a prvi put ulazi 2012. godine, kao predstavnik SAD-a za šesti okrug Floride. Prvi put Guverner Floride postaje 2018. godine, a ponovo je izabran u novembru prošle godine.",5
3," 'Vrhovni sud SAD-a odbio je saslušati ponudu operatera internet enciklopedije Wikipedia da ponovo pokrene tužbu protiv Agencije za nacionalnu sigurnost (NSA) kojom namjerava osporiti pravo na masovni online nadzor.\n Odbijajući žalbu Fondacije Wikimedia, sudije su odbacile tužbe nižeg suda na osnovu vladine tvrdnje o onome što se naziva privilegija državnih tajni, a što je pravna doktrina koja može zaustaviti sudske sporove ako bi otkrivanje određenih informacija ugrozilo nacionalnu sigurnost SAD-a, prenosi Tanjug, pozivajući se na Reuters.\n Fondacija Wikimedia, koju zastupa Američka unija za građanske slobode, podnijela je tužbu 2015. godine kojom osporava zakonitost NSA-ovog nadzora stranih ciljeva kroz “nesumnjivo prikupljanje i pretragu internet saobraćaja na linijama za prijenos podataka koji ulaze i izlaze iz SAD-a”.\n NSA je agencija u okviru Ministarstva odbrane odgovorna za američku kriptografsku i komunikacijsku obavještajnu sigurnost.\n‘Mreža za nadzor’ kao nezakonita invazija\n Američka vlada je saopćila da je praćenje NSA dozvoljeno amandmanom na savezni zakon iz 2008. godine, pod nazivom Zakon o nadzoru stranih obavještajnih službi.\n Tužba je proglasila “mrežu za nadzor“ nezakonitom invazijom na privatnost Amerikanaca, čime se narušava Prvi amandman američkog Ustava, koji štiti slobodu govora, kao i Četvrti amandman, koji zabranjuje nerazumne pretrese i zapljene.\n Wikimedia je uporedila presretanje svojih komunikacija od NSA sa “zapljenom i pretragom matičnih knjiga najveće biblioteke na svijetu”.\n Četvrti okružni apelacioni sud SAD-a, sa sjedištem u Richmondu u Virginiji, 2021. godine podržao je odbacivanje slučaja, zaključivši da se NSA ispravno pozivala na privilegiju državne tajne, što znači da se parnica ne može nastaviti, jer bi otkrivanje detalja o nadzoru moglo naštetiti operacijama američkih obavještajnih službi.\nVrhovni sud SAD-a je počeo i saslušanje argumenata u slučaju koji bi mogao oslabiti pravni štit internet kompanija od širokog spektra tužbi.",4
4, 'Mladima u Sjevernoj Makedoniji poljoprivreda nije primamljiva. Od četiri hiljade registriranih poljoprivrednika samo 600 ih je mlađe od 40 godina. Među razlozima ovakvog stanja su iseljavanje iz zemlje te nedostupnost poljoprivrednog zemljišta.,3
5," 'Kompanija LinkedIn, koja korisnicima nudi istoimenu profesionalnu društvenu mrežu za poslovne kontakte, u utorak je najavila da će ukinuti 716 radnih mjesta i ugasiti svoju aplikaciju Incareer, dostupnu u Kini, što je njen američki vlasnik Microsoft opravdao “žestokom konkurencijom” i “teškom makroekonomskom klimom”.\n Računarski div bio je jedna od rijetkih američkih internetskih kompanija koja je uspjela nametnuti društvenu mrežu u Kini uprkos cenzuri i strogim lokalnim propisima.\n Microsoft je Kinezima ponudio verziju svoje profesionalne mreže, pridržavajući se pritom, kroz zajedničko lokalno ulaganje, drakonskih mjera.\n Šef LinkedInea Ryan Roslansky rekao je da su ukidanja radnih mjesta nužna zbog racionalizacije poslovanja kompanije te da će se ubuduće više koristiti usluge vanjskih saradnika, piše AFP, a prenosi Hina.\n Kazao je i da će promjene rezultirati otvaranjem 250 novih radnih mjesta, a glasnogovornik LinkedIna je objavio da će se zaposlenici koji su izgubili radno mjesto u ovoj kompaniji moći takmičiti za nove pozicije.\n U 2021. je kompanija koja slovi kao lider za poslovne kontakte ukinula aplikaciju “LinkedIn” u kontinentalnoj Kini, kao razloge navodeći “izazovno operativno okruženje” i “povećane zahtjeve za usklađenje s lokalnim propisima”.\nLokalne aplikacije konkurencija LinkedInu\n Aplikacija je zamijenjena pojednostavljenom lokalnom verzijom nazvanom InCareer, koja je lokalnim stručnjacima omogućila da nastave pronalaziti i prijavljivati \u200b\u200bse za poslove, ali i da ostanu povezani sa svojom mrežom.\n “Nakon pažljivog razmatranja, donijeli smo odluku o gašenju InCareera od 9. augusta 2023.”, objavila je u utorak društvena mreža.\n “Uprkos prvobitnom uspjehu, InCareer se suočio sa žestokom konkurencijom i teškom makroekonomskom klimom, što nas je u konačnici navelo da odlučimo ukinuti svoje usluge” u Kini, objavio je LinkedIn.\n Mreža je posljednjih godina marginalizirana usred mnoštva inovativnih lokalnih aplikacija.\n Većina američkih internetskih multinacionalnih društvenih mreža, poput Facebooka, Twittera, Instagrama, YouTubea…, već je duže vrijeme blokirana u Kini, jer se ne uspijeva pridržavati\xa0strogih lokalnih zakona i ne uvijek jasnih pravila poslovanja.\n Tehnološki\xa0divovi su pod pritiskom da blokiraju sve neželjene sadržaje i teme koje se smatraju politički osjetljivima na internetu u ime društvene stabilnosti.\nLinkedIn se posljednjih godina našao na meti kritika zbog uklanjanja disidentskih računa i brisanja politički osjetljivih\xa0sadržaja sa svojih stranica.",3
6," 'Kombinacija laboratorijskog modula kineske svemirske stanice Mengtian i njene rakete nosača Dugi marš – 5B I4 (Long March-5B I4) prevezena je u područje lansiranja, objavila je Kineska svemirska agencija za letove sa posadom.\n Kako prenosi Xinhua, laboratorijski modul će biti poslan uskoro u orbitu, a prije lansiranja neophodno je obaviti provjere funkcionalnosti i zajedničke testove.\nIzvođenje eksperimenata u svemiru\n Objekti i oprema na mjestu lansiranja svemirskih letjelica Wenchang u južnoj provinciji Hainan su u dobrom stanju, a sva odjeljenja uključena u misiju prolaze kroz završne pripreme, javlja Beta.\nNaučna oprema u modulu Mengtian, drugoj laboratorijskoj komponenti kineske svemirske stanice u izgradnji, koristit će se za proučavanje mikrogravitacije i izvođenje eksperimenata u fizici fluida, nauci o materijalima, nauci o sagorijevanju i fundamentalnoj fizici.",4
7," 'Upotreba softvera za špijuniranje “Pegasus“ bila je naširoko rasprostranjena u zemljama Evropske unije, zaključak je izvještaja istražnog odbora Evropskog parlamenta.\n “Vlade članica EU-a su upotrijebile ovaj softver protiv građana u političke svrhe“, konstatacija je objavljenog nacrta izvještaja, u kojem se navodi da postoje naznake da su to radile Poljska, Mađarska, Grčka, Kipar i Španija.\n Austrija se, takođe, kritizira, jer bivši kancelar Sebastian Kurz ima tijesne veze s vlasnikom izraelske kompanije NSO, koja je razvila “Pegasus“, prenosi Tanjug.\n U izvještaju navodi da je u Austriji sjedište kompanije DSIRF (Decision Supporting Information Research and Forensic), koja važi za provajdera softvera za špijunažu, a visoki funkcioneri te firme imaju kontakte s Rusijom i Kremljom.\nIn ‘t Veld: Velika prijetnja po demokratiju\n Nakon što su eksperti za bezbjednost Microsofta optužili DSIRF da stoji iza niza digitalnih napada na banke, advokatske urede, strateške kompanije u najmanje tri zemlje, austrijska državna bezbjednost provela je istragu, ali nije našla dokaze za primjenu softvera za špijunažu.\n DSIRF je razvio softver pod imenom “Subzero”, koji koristi takozvane Zero-Day-Exploits, kako bi došao do povjerljivih podataka i lozinku, tvrdio je Microsoft u julu.\n “Razvoj ‘spajvera’ u državama članicama EU-a je velika prijetnja po demokratiju na cijelom kontinentu“, naglasila je nadležni izvjestilac EP-a, Nizozemka Sophie in ‘t Veld, prenose austrijski mediji.\n Prema njenim riječima, “spajverom“ se ne krše samo prava na privatnu sferu, već i miniraju demokratske institucije te ućutkuju opozicija i kritičari.\n Također takav softver, dodaje, ima zastrašujuće dejstvo po slobodu medija i civilno društvo te služi za vršenje utjecaja na izborima.\n‘Napadi na demokratiju dolaze iznutra’\n “To je evropski skandal“, pošto su napadnute i institucije EU-a, a uticalo je i na donošenje odluka u Uniji, tvrdi In ‘t Veld.\n Požalila se da nijedna zvanična ustanova nije željela sarađivati s njom u izradi izvještaja, pa ni Vijeće EU-a nije dao odgovor EP-u na pitanja s tim u vezi.\n “Zbog toga slika nije potpuna, već imamo samo 900 dijelova od puzla sa 1.000 dijelića“, rekla je ona.\n “Evropska komisija se bučno zalaže za demokratiju i borbu protiv lažnih vijesti, a tako nedavno i prilikom preuzimanja Twittera. Ali kada napadi na demokratiju dolaze iznutra, Komisija šuti“, kazala je In ‘t Veld.\nNavela je da EK pokazuje mišiće Elonu Musku, ali plišanim rukvicama se obraća članicama EU-a koje koriste “spajver” protiv građana.",4
8," 'Hiljade porodica u Demokratskoj Republici Kongo izgubile su sve u klizištu prošle sedmice.\n Cijela sela u pokrajini Južni Kivu su izbrisana, a potvrđeno je da je poginulo više od 400 osoba.\n Pet hiljada još se vodi kao nestalo.\nPreživjeli se bore naći privremeno sklonište, hranu i odjeću.",5
9," ""Bilo je pitanje kada će se ovako zlo desiti, izjavio je u srijedu bivši šef Odseka za krvne delikte Žarko Popović, povodom smrtonosne pucnjave u osnovnoj školi “Vladislav Ribnikar” na Vračaru u Beogradu.\n “Sve ide iz kuće i od roditelja, škola daje obrazovnu, a kuća vaspitnu komponentu. Mnogo stvari je propušteno u poslednjih nekoliko meseci, bilo je napada na prosvetne radnike, ali je sve to zabašureno, po starom našem dobrom običaju. Bilo je pitanje dana samo kada će se ovakvo zlo desiti”, kazao je on za televiziju K1, prenosi Tanjug.\n U masovnoj pucnjavi u osnovnoj školi u centru Beograda učenik sedmog razreda ubio je osmero djece i djelatnika osiguranja, a duži period je, kako tvrdi policija, planirao napad.\n Ranio je još sedam osoba – šest učenika i jednu nastavnicu – od kojih su jedna učenica i nastavnica u životnoj opasnosti.\n Maloljetnik je u srijedu u 8:40 sati ušao u školu i počeo pucati na osiguranje, nastavnicu i učenike iz očevog pištolja.\n U torbi je imao i pripremljene “Molotovljeve koktele”.\nKo je dječaka naučio rukovati oružjem?\n Nakon zločina sam je nazvao policiju, koja ga je potom uhapsila.\n Popović sumnja da je dječak “verovatno išao u streljane ‘ispod radara'“, pošto je “dete iz ugledne porodice“, i tu naučio koristiti vatreno oružje.\n Kao maloljetni dječak, obuku za korištenje oruža nije mogao dobiti legalno.\n U ovom su slučaju najviše “zakazali” roditelji, kaže Popović, optužujući oca učenika, koji je vatreno oružje držao na nesigurnom mjestu.\n Nadležne službe moraju dati odgovor šta je bio “okidač da dete napravi takav zločin”, rekao je Popović.\n“Ne sme se završiti samo na hapšenju i pravnom procesuiranju, već to dete mora da bude podvrgnuto detaljnoj psihijatrijskoj, psihološkoj proceduri, da bi se utvrdilo šta ga je dovelo u to stanje da napravi ovakvo zlo, ali i kako bismo ubuduće sprečili ovakve zločine”, kazao je Popović."", 'Vlasti u Mostaru su, simbolično na Dan pobjede nad fašizmom i Dan Evrope, počele uklanjati ploče s nazivima ustaških zvaničnika te postavljati nove, imenovane po uglednim građanima, o čemu je odluku Gradsko vijeće donijelo još prije deset mjeseci, prenosi Hina.\n Umjesto Mile Budaka, ustaškog ministra iz vlade Nezavisne Države Hrvatske (NDH), u centru Mostara postavljene su ploče s imenom pjesnika Alekse Šantića.\n Na identičan način su uklonjene ploče u nekadašnjoj ulici Vokića i Lorkovića, koji su, također, bili ministri u vladi NDH-a, saveznici Hitlerove Njemačke i Mussolinijeve Italije.\n Na ta su mjesta postavljene ploče s imenom hrvatskog pjesnika Tina Ujevića koji je s posebnim nadahnućem pisao o gradu na Neretvi.\n Uz ove dvije ulice mijenjaju se ploče i u nekadašnjoj ulici Đure Spuževića, koja je preimenovana u Ulicu Ismeta Ice Voljevice, dok je u Ulici tabornika Ive Zelenike postavljena ploča s natpisom Ciglana. Ulica koja je nosila naziv po Rafaelu\xa0Bobanu, jednom od najpoznatijih pripadnika ustaškog pokreta i režima,\xa0sada nosi ime\xa0fra Ljudevita\xa0Laste.\nSAD i EU pozdravili odluku\n Ulica nazvana po ustaškom povjereniku za BiH Juri Francetiću nosit će naziv Humska ulica.\n Krajem rata 1995. tadašnje hrvatske vlasti u Mostaru promijenile su nazive 72 ulice i trga, a šest ulica u Mostaru dobilo je imena ustaških političkih i vojnih dužnosnika Mile Budaka, Jure Francetića, Ante Vokića i Mladena Lorkovića, Ive Zelenike Tovarnika te Đure Spuževića.\n Gradsko vijeće Mostara je prošle godine donijelo odluku o uklanjanju ovih spornih naziva, što su pozdravile administracije SAD-a, EU-a, Ureda visokog međunarodnog predstavnika, uz očekivanje da tako postupe i drugi gradovi poput Sarajeva i Banje Luke.\nMeđutim, do sada još nisu donesene odluke o uklanjanju naziva ulica po saradnicima nacista i pripadnicima četničkog pokreta.",1
10," 'Četiri opštine na sjeveru Kosova, s većinski srpskim stanovništvom, dobile su nove gradonačelnike.\n Izlaznost na jučerašnjim izborima iznosila je 3,47 posto zbog bojkota Srba kojih je na birališta izašlo 13.\n Na čelo Sjeverne Mitrovice, Leposavića, Zubinog Potoka i Zvečana izabrani su kandidati iz albanskih stranaka – Samoopredjeljenje i Demokratska partija Kosova.\n Srpska lista, koja je prije povlačenja iz kosovskih institucija bila na vlasti u sve četiri opštine, pozvala je građane na bojkot izbora dok se ne formira zajednica srpskih opština, a kosovska policija povuče sa sjevera.\n Kosovski premijer Albin Kurti je za slabu izlaznost na izborima okrivio – Srbiju.\n Predsjednik Srbije Aleksandar Vučić izbore na sjeveru nazvao je debaklom kosovskog premijera Albina Kurtija i Kvinte.\n Kako je istakao, niska izlaznost je pokazala disciplinu, odgovornost i odlučnost Srba sa sjevera koji su jednoglasno rekli što misle o Prištini, u kojoj državi žele živjeti, te da traže drukčiji pristup međunarodne zajednice prema njima.\nViše detalja donosi Zoran Kosanović.",1
11," 'Situacija s poplavama na sjeverozapadu Bosne i Hercegovine se stabilizuje.\n Nastavljaju opadati vodostaji Une i Sane, ali je u Unsko-sanskom kantonu još na snazi stanje prirodne nesreće.\n U blagom porastu je vodostaj Save na sjeveru zemlje, u područu Gradiške i Srpca, ali iz Civilne zaštite Republike Srpske navode da nema opasnosti od većeg izlijevanja rijeke.\nU Bihaću je Aida Hadžimusić.",1
